state,population,abbreviation
Alabama,4903185,AL
Alaska,731545,AK
Arizona,7278717,AZ
Arkansas,3017825,AR
California,39512223,CA
Colorado,5758736,CO
Connecticut,3565287,CT
Delaware,973764,DE
Florida,21477737,DC
Georgia,10617423,FL
Hawaii,1415872,GA
Idaho,1787065,HI
Illinois,12671821,ID
Indiana,6732219,IL
Iowa,3155070,IN
Kansas,2913314,IA
Kentucky,4467673,KS
Louisiana,4648794,KY
Maine,1344212,LA
Maryland,6045680,ME
Massachusetts,6892503,MT
Michigan,9986857,NE
Minnesota,5639632,NV
Mississippi,2976149,NH
Missouri,6137428,NJ
Montana,1068778,NM
Nebraska,1934408,NY
Nevada,3080156,NC
New Hampshire,1359711,ND
New Jersey,8882190,OH
New Mexico,2096829,OK
New York,19453561,OR
North Carolina,10488084,MD
North Dakota,762062,MA
Ohio,11689100,MI
Oklahoma,3956971,MN
Oregon,4217737,MS
Pennsylvania,12801989,MO
Rhode Island,1059361,PA
South Carolina,5148714,RI
South Dakota,884659,SC
Tennessee,6829174,SD
Texas,28995881,TN
Utah,3205958,TX
Vermont,623989,UT
Virginia,8535519,VT
Washington,7614893,VA
West Virginia,1792147,WA
Wisconsin,5822434,WV
Wyoming,578759,WI
,,WY
