code,state,pop_2014
AL,Alabama,59.48
AK,Alaska,41.43
AZ,Arizona,38.92
AR,Arkansas,44.53
CA,California,32.09
CO,Colorado,34.97
CT,Connecticut,59.75
DE,Delaware,66.32
DC,"District of Columbia",62.00
FL,Florida,37.49
GA,Georgia,52.35
HI,Hawaii,25.07
ID,Idaho,38.16
IL,Illinois,44.73
IN,Indiana,62.93
IA,Iowa,65.12
KS,Kansas,62.84
KY,Kentucky,61.10
LA,Louisiana,54.43
ME,Maine,43.95
MD,Maryland,58.83
MA,Massachusetts,51.00
MI,Michigan,45.46
NY,"New York",29.76
NYC,"New York City",55.43
NC,"North Carolina",58.22
OH,Ohio,54.27
OK,Oklahoma,57.80
OR,Oregon,41.07
PA,Pennsylvania,48.51
RI,"Rhode Island",38.86
SC,"South Carolina",61.31
SD,"South Dakota",50.32
TN,Tennessee,64.72
TX,Texas,51.77
UT,Utah,39.88
VT,Vermont,46.38
VA,Virginia,53.16
WA,Washington,40.42
WV,"West Virginia",32.14
WI,Wisconsin,52.78
WY,Wyoming,19.81
